Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information
48,h1,ENIAC,269,True,Homepage Version A - white SHOP NOW   •   https://eniac.com/index-a.php
25,div,mySidebar,309,True,"created 2021-09-14   •   14 days 0 hours 34 mins   •   25326 visits, 23174 clicks"
4,a,Mac,279,True,
69,a,iPhone,246,True,
105,a,Accessories,1235,True,
36,a,Chargers & Cables,1261,False,
99,a,iPhone Accessories,1226,False,
68,a,Watch Accessories,1261,False,
13,a,Mac Accessories,1308,False,
15,a,AirTag,206,False,
9,a,iPad,186,True,
52,a,Watch,212,True,
33,a,Storage,198,True,
90,a,Services,177,True,
59,a,Contact,266,True,
17,a,Newsletter,56,True,
74,a,Subscribe,56,True,
18,div,w3-padding-64,324,True,
88,div,w3-display-container,312,True,
76,img,Jeans,924,True,
20,div,w3-display-topleft,327,True,
106,a,SHOP NOW,512,True,
72,img,iphone13_cover,877,True,
46,img,abstract-case,912,True,
6,img,airpods,921,True,
16,img,watch-lgtb,843,True,
30,img,blue-strap,852,True,
108,img,cartoon-case,903,True,
117,img,hermes-case,912,True,
111,img,leopard-case,874,True,
125,img,magnetic-case,849,True,
103,input,Enter e-mail,209,True,
39,button,Subscribe,54,True,
7,div,w3-input,291,True,
81,h4,Contact,298,True,
82,input,Name,214,True,
120,input,Email,208,True,
119,input,Subject,201,True,
32,input,Message,195,True,
73,button,Send,188,True,
67,a,About us,28,True,
54,a,We're hiring,41,True,
84,a,Support,48,True,
34,a,Find store,39,True,
27,a,Shipment,52,True,
21,a,Payment,32,True,
64,a,Gift card,41,True,
113,a,Return,42,True,
53,a,Help,43,True,
60,a,telphone-contact,105,True,
71,a,email-contact,112,True,
8,a,Facebook,278,True,
96,a,Instagram,247,True,
114,a,Snapchat,289,True,
40,a,Pinterest,276,True,
26,a,Twitter,266,True,
98,a,LinkedIn,284,True,
