Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information
48,h1,ENIAC,236,True,Homepage Version B - red SHOP NOW   •   https://eniac.com/index-b.php
25,div,mySidebar,304,True,"created 2021-10-27   •   14 days 0 hours 34 mins   •   24747 visits, 22407 clicks"
4,a,Mac,268,True,
69,a,iPhone,260,True,
105,a,Accessories,1214,True,
36,a,Chargers & Cables,1259,False,
99,a,iPhone Accessories,1237,False,
68,a,Watch Accessories,1221,False,
13,a,Mac Accessories,1210,False,
15,a,AirTag,195,False,
9,a,iPad,219,True,
52,a,Watch,209,True,
33,a,Storage,203,True,
90,a,Services,170,True,
59,a,Contact,258,True,
17,a,Newsletter,53,True,
74,a,Subscribe,48,True,
18,div,w3-padding-64,294,True,
88,div,w3-display-container,293,True,
76,img,Jeans,893,True,
20,div,w3-display-topleft,298,True,
126,a,SHOP NOW,281,True,
72,img,iphone13_cover,860,True,
46,img,abstract-case,879,True,
6,img,airpods,881,True,
16,img,watch-lgtb,863,True,
30,img,blue-strap,882,True,
108,img,cartoon-case,886,True,
117,img,hermes-case,824,True,
111,img,leopard-case,843,True,
125,img,magnetic-case,872,True,
103,input,Enter e-mail,208,True,
39,button,Subscribe,51,True,
7,div,w3-input,285,True,
81,h4,Contact,281,True,
82,input,Name,206,True,
120,input,Email,198,True,
119,input,Subject,195,True,
32,input,Message,193,True,
73,button,Send,192,True,
67,a,About us,37,True,
54,a,We're hiring,51,True,
84,a,Support,38,True,
34,a,Find store,32,True,
27,a,Shipment,31,True,
21,a,Payment,37,True,
64,a,Gift card,35,True,
113,a,Return,28,True,
53,a,Help,39,True,
60,a,telphone-contact,108,True,
71,a,email-contact,104,True,
8,a,Facebook,275,True,
96,a,Instagram,288,True,
114,a,Snapchat,241,True,
40,a,Pinterest,282,True,
26,a,Twitter,295,True,
98,a,LinkedIn,264,True,
