Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information
48,h1,ENIAC,288,True,Homepage Version C - white SEE DEALS   •   https://eniac.com/index-c.php
25,div,mySidebar,283,True,"created 2021-10-27   •   14 days 0 hours 34 mins   •   24876 visits, 23031 clicks"
4,a,Mac,262,True,
69,a,iPhone,234,True,
105,a,Accessories,1288,True,
36,a,Chargers & Cables,1224,False,
99,a,iPhone Accessories,1175,False,
68,a,Watch Accessories,1264,False,
13,a,Mac Accessories,1203,False,
15,a,AirTag,202,False,
9,a,iPad,228,True,
52,a,Watch,203,True,
33,a,Storage,173,True,
90,a,Services,186,True,
59,a,Contact,237,True,
17,a,Newsletter,55,True,
74,a,Subscribe,39,True,
18,div,w3-padding-64,290,True,
88,div,w3-display-container,288,True,
76,img,Jeans,861,True,
20,div,w3-display-topleft,317,True,
127,a,SEE DEALS,527,True,
72,img,iphone13_cover,890,True,
46,img,abstract-case,906,True,
6,img,airpods,928,True,
16,img,watch-lgtb,931,True,
30,img,blue-strap,903,True,
108,img,cartoon-case,861,True,
117,img,hermes-case,891,True,
111,img,leopard-case,879,True,
125,img,magnetic-case,884,True,
103,input,Enter e-mail,227,True,
39,button,Subscribe,41,True,
7,div,w3-input,328,True,
81,h4,Contact,269,True,
82,input,Name,211,True,
120,input,Email,210,True,
119,input,Subject,205,True,
32,input,Message,204,True,
73,button,Send,201,True,
67,a,About us,38,True,
54,a,We're hiring,34,True,
84,a,Support,43,True,
34,a,Find store,34,True,
27,a,Shipment,28,True,
21,a,Payment,26,True,
64,a,Gift card,35,True,
113,a,Return,38,True,
53,a,Help,36,True,
60,a,telphone-contact,117,True,
71,a,email-contact,107,True,
8,a,Facebook,315,True,
96,a,Instagram,269,True,
114,a,Snapchat,267,True,
40,a,Pinterest,278,True,
26,a,Twitter,288,True,
98,a,LinkedIn,282,True,
