Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information
48,h1,ENIAC,285,True,Homepage Version D - red SEE DEALS   •   https://eniac.com/index-d.php
25,div,mySidebar,305,True,"created 2021-10-27   •   14 days 0 hours 34 mins   •   25233 visits, 22743 clicks"
4,a,Mac,274,True,
69,a,iPhone,243,True,
105,a,Accessories,1267,True,
36,a,Chargers & Cables,1260,False,
99,a,iPhone Accessories,1296,False,
68,a,Watch Accessories,1252,False,
13,a,Mac Accessories,1273,False,
15,a,AirTag,201,False,
9,a,iPad,200,True,
52,a,Watch,195,True,
33,a,Storage,205,True,
90,a,Services,163,True,
59,a,Contact,288,True,
17,a,Newsletter,43,True,
74,a,Subscribe,47,True,
18,div,w3-padding-64,302,True,
88,div,w3-display-container,302,True,
76,img,Jeans,900,True,
20,div,w3-display-topleft,334,True,
128,a,SEE DEALS,193,True,
72,img,iphone13_cover,871,True,
46,img,abstract-case,911,True,
6,img,airpods,908,True,
16,img,watch-lgtb,884,True,
30,img,blue-strap,862,True,
108,img,cartoon-case,874,True,
117,img,hermes-case,894,True,
111,img,leopard-case,865,True,
125,img,magnetic-case,888,True,
103,input,Enter e-mail,212,True,
39,button,Subscribe,54,True,
7,div,w3-input,313,True,
81,h4,Contact,251,True,
82,input,Name,187,True,
120,input,Email,180,True,
119,input,Subject,179,True,
32,input,Message,179,True,
73,button,Send,173,True,
67,a,About us,46,True,
54,a,We're hiring,37,True,
84,a,Support,36,True,
34,a,Find store,41,True,
27,a,Shipment,37,True,
21,a,Payment,36,True,
64,a,Gift card,47,True,
113,a,Return,25,True,
53,a,Help,37,True,
60,a,telphone-contact,124,True,
71,a,email-contact,117,True,
8,a,Facebook,293,True,
96,a,Instagram,274,True,
114,a,Snapchat,252,True,
40,a,Pinterest,300,True,
26,a,Twitter,265,True,
98,a,LinkedIn,263,True,
